         0        inf
     0.125        inf
      0.25        inf
     0.375        inf
       0.5        inf
     0.625        inf
      0.75        inf
     0.875        inf
         1        inf
     1.125        inf
      1.25        inf
     1.375        inf
       1.5        inf
     1.625        inf
      1.75        inf
     1.875        inf
         2        inf
     2.125        inf
      2.25        inf
     2.375        inf
       2.5        inf
     2.625        inf
      2.75        inf
     2.875        inf
         3        inf
     3.125        inf
      3.25        inf
     3.375        inf
       3.5        inf
     3.625        inf
      3.75        inf
     3.875        inf
         4        inf
     4.125        inf
      4.25        inf
     4.375        inf
       4.5        inf
     4.625        inf
      4.75        inf
     4.875        inf
         5        inf
     5.125        inf
      5.25        inf
     5.375        inf
       5.5        inf
     5.625        inf
      5.75        inf
     5.875        inf
         6        inf
     6.125        inf
      6.25        inf
     6.375        inf
       6.5        inf
     6.625        inf
      6.75        inf
     6.875        inf
         7        inf
     7.125        inf
      7.25        inf
     7.375        inf
       7.5        inf
     7.625        inf
      7.75        inf
     7.875        inf
         8        inf
     8.125        inf
      8.25        inf
     8.375        inf
       8.5        inf
     8.625        inf
      8.75        inf
     8.875        inf
         9        inf
     9.125        inf
      9.25        inf
     9.375        inf
       9.5        inf
     9.625        inf
      9.75        inf
     9.875        inf
        10        inf
    10.125        inf
     10.25        inf
    10.375        inf
      10.5        inf
    10.625        inf
     10.75        inf
    10.875        inf
        11        inf
    11.125        inf
     11.25        inf
    11.375        inf
      11.5        inf
    11.625        inf
     11.75        inf
    11.875        inf
        12        inf
    12.125        inf
     12.25        inf
    12.375        inf
      12.5        inf
    12.625        inf
     12.75        inf
    12.875        inf
        13        inf
    13.125        inf
     13.25        inf
    13.375        inf
      13.5        inf
    13.625        inf
     13.75        inf
    13.875        inf
        14        inf
    14.125        inf
     14.25        inf
    14.375        inf
      14.5        inf
    14.625        inf
     14.75        inf
    14.875        inf
        15        inf
    15.125        inf
     15.25        inf
    15.375        inf
      15.5        inf
    15.625        inf
     15.75        inf
    15.875        inf
        16 1.831057599e-42
    16.125 1.727782303e-42
     16.25 1.624507006e-42
    16.375 1.532908428e-42
      16.5 1.441309849e-42
    16.625 1.360088578e-42
     16.75 1.278867306e-42
    16.875 1.206863489e-42
        17 1.134859672e-42
    17.125 1.071038945e-42
     17.25 1.007218217e-42
    17.375 9.506589015e-43
      17.5 8.940995858e-43
    17.625 8.439810643e-43
     17.75 7.938625427e-43
    17.875 7.494547202e-43
        18 7.050468978e-43
    18.125 6.6570067e-43
     18.25 6.263544423e-43
    18.375 5.914930874e-43
      18.5 5.566317325e-43
    18.625 5.257431516e-43
     18.75 4.948545707e-43
    18.875 4.674843034e-43
        19 4.401140361e-43
    19.125 4.158589839e-43
     19.25 3.916039318e-43
    19.375 3.701067253e-43
      19.5 3.486095189e-43
    19.625 3.295534693e-43
     19.75 3.104974197e-43
    19.875 2.936020003e-43
        20 2.76706581e-43
    20.125 2.617233876e-43
     20.25 2.467401942e-43
    20.375 2.334493377e-43
      20.5 2.201584811e-43
    20.625 2.083653691e-43
     20.75 1.965722572e-43
    20.875 1.861047272e-43
        21 1.756371972e-43
    21.125 1.663429626e-43
     21.25 1.57048728e-43
    21.375 1.487931074e-43
      21.5 1.405374867e-43
    21.625 1.332013852e-43
     21.75 1.258652836e-43
    21.875 1.193434002e-43
        22 1.128215169e-43
    22.125 1.070207536e-43
     22.25 1.012199904e-43
    22.375 9.605804148e-44
      22.5 9.089609252e-44
    22.625 8.630019341e-44
     22.75 8.170429429e-44
    22.875 7.76101144e-44
        23 7.35159345e-44
    23.125 6.986659627e-44
     23.25 6.621725805e-44
    23.375 6.296246922e-44
      23.5 5.97076804e-44
    23.625 5.680296635e-44
     23.75 5.38982523e-44
    23.875 5.130427451e-44
        24 4.871029672e-44
    24.125 4.639194647e-44
     24.25 4.407359623e-44
    24.375 4.199934841e-44
      24.5 3.992510059e-44
    24.625 3.806720376e-44
     24.75 3.620930693e-44
    24.875 3.454337046e-44
        25 3.287743399e-44
    25.125 3.138199845e-44
     25.25 2.988656291e-44
    25.375 2.854272804e-44
      25.5 2.719889317e-44
    25.625 2.598999538e-44
     25.75 2.478109759e-44
    25.875 2.369243013e-44
        26 2.260376268e-44
    26.125 2.162233253e-44
     26.25 2.064090238e-44
    26.375 1.975521889e-44
      26.5 1.88695354e-44
    26.625 1.806942631e-44
     26.75 1.726931722e-44
    26.875 1.654576837e-44
        27 1.582221952e-44
    27.125 1.516723507e-44
     27.25 1.451225061e-44
    27.375 1.391873096e-44
      27.5 1.33252113e-44
    27.625 1.278684649e-44
     27.75 1.224848168e-44
    27.875 1.175965809e-44
        28 1.12708345e-44
    28.125 1.082655321e-44
     28.25 1.038227191e-44
    28.375 9.978077067e-45
      28.5 9.573882226e-45
    28.625 9.205798334e-45
     28.75 8.837714443e-45
    28.875 8.502191193e-45
        29 8.166667944e-45
    29.125 7.860531782e-45
     29.25 7.554395621e-45
    29.375 7.274807131e-45
      29.5 6.995218641e-45
    29.625 6.739635018e-45
     29.75 6.484051396e-45
    29.875 6.250193384e-45
        30 6.016335372e-45
    30.125 5.802158089e-45
     30.25 5.587980806e-45
    30.375 5.391647993e-45
      30.5 5.19531518e-45
    30.625 5.015176446e-45
     30.75 4.835037711e-45
    30.875 4.669608399e-45
        31 4.504179088e-45
    31.125 4.352122464e-45
     31.25 4.20006584e-45
    31.375 4.060177301e-45
      31.5 3.920288762e-45
    31.625 3.791481837e-45
     31.75 3.662674911e-45
    31.875 3.543968834e-45
        32 3.425262758e-45
    32.125 3.315771434e-45
     32.25 3.206280109e-45
